Date,CO(Carbon Monoxide in mg / m3),CO
1/1/2015,0.33,0.288057836486969
1/2/2015,1.35,1.17841842199215
1/3/2015,17.4,15.1885041056765
1/4/2015,5.05,4.40815780078543
1/5/2015,1.83,1.59741163870046
1/6/2015,0.52,0.453909318100678
1/7/2015,1.46,1.27443770082114
1/8/2015,2.3,2.00767583006069
1/9/2015,0.54,0.471367368796858
1/10/2015,1.69,1.4752052838272
1/11/2015,2.59,2.2608175651553
1/12/2015,0.61,0.532470546233488
1/13/2015,0.63,0.549928596929668
1/14/2015,1.83,1.59741163870046
1/15/2015,3.29,2.8718493395216
1/16/2015,16.41,14.3243305962156
1/17/2015,15.98,13.9489825062478
1/18/2015,9.04,7.89103891467333
1/19/2015,8.09,7.06178150660478
1/20/2015,4.05,3.53525526597644
1/21/2015,18.3,15.9741163870046
1/22/2015,3.32,2.89803641556587
1/23/2015,5.04,4.39942877543734
1/24/2015,2.42,2.11242413423777
1/25/2015,3.39,2.9591395930025
1/26/2015,5.39,4.70494466262049
1/27/2015,1.71,1.49266333452338
1/28/2015,4.87,4.25103534451981
1/29/2015,2.26,1.97275972866833
1/30/2015,1.06,0.925276686897537
1/31/2015,0.46,0.401535166012139
2/1/2015,0.36,0.314244912531239
2/2/2015,0.46,0.401535166012139
2/3/2015,0.59,0.515012495537308
2/4/2015,1.08,0.942734737593717
2/5/2015,0.59,0.515012495537308
2/6/2015,0.5,0.436451267404498
2/7/2015,1.45,1.26570867547305
2/8/2015,0.45,0.392806140664049
2/9/2015,0.64,0.558657622277758
2/10/2015,0.77,0.672134951802928
2/11/2015,0.57,0.497554444841128
2/12/2015,0.96,0.837986433416637
2/13/2015,1.32,1.15223134594788
2/14/2015,0.9,0.785612281328097
2/15/2015,0.76,0.663405926454838
2/16/2015,2.35,2.05132095680114
2/17/2015,0.83,0.724509103891467
2/18/2015,3.23,2.81947518743306
2/19/2015,2.18,1.90292752588361
2/20/2015,6.95,6.06667261692253
2/21/2015,8.98,7.83866476258479
2/22/2015,6.28,5.4818279186005
2/23/2015,13.56,11.83655837201
2/24/2015,4.78,4.17247411638701
2/25/2015,1.49,1.30062477686541
2/26/2015,1.24,1.08239914316316
2/27/2015,1.14,0.995108889682256
2/28/2015,1.38,1.20460549803642
3/1/2015,0.48,0.418993216708318
3/2/2015,3.56,3.10753302392003
3/3/2015,14.67,12.805480185648
3/4/2015,3.39,2.9591395930025
3/5/2015,29.33,25.6022313459479
3/6/2015,23.53,20.5393966440557
3/7/2015,25.7,22.4335951445912
3/8/2015,16.01,13.975169582292
3/9/2015,25.5,22.2590146376294
3/10/2015,1.08,0.942734737593717
3/11/2015,1.33,1.16096037129597
3/12/2015,1.9,1.65851481613709
3/13/2015,13.01,11.356461977865
3/14/2015,18.28,15.9566583363085
3/15/2015,29.93,26.1259728668333
3/16/2015,25.25,22.0407890039272
3/17/2015,17.79,15.5289360942521
3/18/2015,6.17,5.38580863977151
3/19/2015,15.98,13.9489825062478
3/20/2015,4.55,3.97170653338093
3/21/2015,3.89,3.395590860407
3/22/2015,11.29,9.85506961799357
3/23/2015,9.95,8.68538022134952
3/24/2015,1.46,1.27443770082114
3/25/2015,10.05,8.77267047483042
3/26/2015,1.44,1.25697965012496
3/27/2015,2.85,2.48777222420564
3/28/2015,8.07,7.0443234559086
3/29/2015,8.53,7.44585862192074
3/30/2015,1.46,1.27443770082114
3/31/2015,1.79,1.5624955373081
4/1/2015,9.6,8.37986433416637
4/2/2015,4.06,3.54398429132453
4/3/2015,5.34,4.66129953588004
4/4/2015,1.47,1.28316672616923
4/5/2015,9.58,8.36240628347019
4/6/2015,0.55,0.480096394144948
4/7/2015,2.3,2.00767583006069
4/8/2015,6.84,5.97065333809354
4/9/2015,5.82,5.08029275258836
4/10/2015,5.19,4.53036415565869
4/11/2015,1.7,1.48393430917529
4/12/2015,2.65,2.31319171724384
4/13/2015,2.23,1.94657265262406
4/14/2015,1.4,1.2220635487326
4/15/2015,5.45,4.75731881470903
4/16/2015,0.97,0.846715458764727
4/17/2015,12.93,11.2866297750803
4/18/2015,3.84,3.35194573366655
4/19/2015,0.48,0.418993216708318
4/20/2015,4.58,3.99789360942521
4/21/2015,6.14,5.35962156372724
4/22/2015,,0
4/23/2015,3.65,3.18609425205284
4/24/2015,1.13,0.986379864334166
4/25/2015,3.1,2.70599785790789
4/26/2015,1.22,1.06494109246698
4/27/2015,1.26,1.09985719385934
4/28/2015,2.31,2.01640485540878
4/29/2015,1.34,1.16968939664406
4/30/2015,,0
5/1/2015,1.59,1.3879150303463
5/2/2015,4.44,3.87568725455195
5/3/2015,1.32,1.15223134594788
5/4/2015,4.17,3.64000357015352
5/5/2015,0,0
5/6/2015,28.28,24.6856836843984
5/7/2015,0.5,0.436451267404498
5/8/2015,4.82,4.20739021777936
5/9/2015,23.56,20.5655837201
5/10/2015,2.57,2.24335951445912
5/11/2015,0.3,0.261870760442699
5/12/2015,,0
5/13/2015,0,0
5/14/2015,1.19,1.03875401642271
5/15/2015,2.06,1.79817922170653
5/16/2015,1.19,1.03875401642271
5/17/2015,12.23,10.675598000714
5/18/2015,12.77,11.1469653695109
5/19/2015,1.14,0.995108889682256
5/20/2015,1.26,1.09985719385934
5/21/2015,1.21,1.05621206711889
5/22/2015,10.68,9.32259907176008
5/23/2015,17.21,15.0226526240628
5/24/2015,9.13,7.96960014280614
5/25/2015,4.19,3.6574616208497
5/26/2015,4.21,3.67491967154588
5/27/2015,4.79,4.18120314173509
5/28/2015,1.22,1.06494109246698
5/29/2015,1.4,1.2220635487326
5/30/2015,4.52,3.94551945733666
5/31/2015,2.84,2.47904319885755
6/1/2015,1.7,1.48393430917529
6/2/2015,1.77,1.54503748661192
6/3/2015,1.52,1.32681185290968
6/4/2015,1.4,1.2220635487326
6/5/2015,5.65,4.93189932167083
6/6/2015,1.78,1.55376651196001
6/7/2015,4.45,3.88441627990004
6/8/2015,3.93,3.43050696179936
6/9/2015,1.4,1.2220635487326
6/10/2015,1.96,1.71088896822563
6/11/2015,1.54,1.34426990360586
6/12/2015,1.89,1.649785790789
6/13/2015,3.21,2.80201713673688
6/14/2015,2.36,2.06004998214923
6/15/2015,1.56,1.36172795430204
6/16/2015,3.74,3.26465548018565
6/17/2015,2,1.74580506961799
6/18/2015,1.3,1.1347732952517
6/19/2015,1.54,1.34426990360586
6/20/2015,2.89,2.522688325598
6/21/2015,3.84,3.35194573366655
